"Tratamento","PH","Tempo"
"1","2","426.82"
"1","2","201.12"
"1","2","234.58"
"1","2","306.25"
"1","1","216.64"
"1","1","418.99"
"1","2","189.26"
"1","2","445.05"
"1","2","269.81"
"1","2","269.8"
"1","1","346.78"
"1","1","311.42"
"1","2","237.91"
"1","1","315.08"
"1","1","377.41"
"1","2","188.05"
"1","1","225.09"
"1","1","302.91"
"1","1","256.52"
"1","1","279.35"
"1","2","257.74"
"1","2","207.76"
"1","1","237.62"
"1","1","320.91"
"1","1","266.82"
"1","1","218.71"
"1","2","262.56"
"1","2","310.55"
"1","2","260.76"
"1","2","248.14"
"1","2","293.79"
"1","1","120.33"
"1","1","131.6"
"1","1","276.22"
"1","2","347.76"
"1","2","373.78"
"1","1","327.41"
"1","1","354.39"
"1","1","224.7"
"1","1","276.05"
"1","1","140.37"
"1","1","303.56"
"1","1","241.62"
"1","1","323.59"
"1","1","217"
"1","1","253.52"
"1","1","351.96"
"1","1","230.38"
"1","1","348.24"
"1","2","380.27"
"1","1","338.02"
"1","1","379.58"
"1","1","299.11"
"1","1","205.16"
"1","1","329.06"
"1","1","272.19"
"1","1","146.67"
"1","1","349.27"
"1","1","342.25"
"1","2","378.11"
"1","1","375.92"
"1","1","374.58"
"1","1","272.1"
"1","1","93.9"
"1","1","299.77"
"1","1","338.08"
"1","1","388.32"
"1","1","226"
"1","1","317.88"
"1","1","207.01"
"1","1","236.88"
"1","1","360.27"
"1","1","321.26"
"1","1","261.99"
"1","1","325.6"
"1","1","290.17"
"1","2","296.01"
"1","2","415.79"
"1","2","315.81"
"1","2","235.58"
"1","2","258.65"
"1","1","444.77"
"1","1","242.18"
"2","1","372.54"
"2","1","102.52"
"2","1","171.57"
"2","2","226.76"
"2","2","312.52"
"2","2","236.6"
"2","2","117.22"
"2","2","276.42"
"2","2","274.22"
"2","2","265.45"
"2","2","334.3"
"2","1","228.69"
"2","1","132.14"
"2","1","123.21"
"2","1","73.86"
"2","1","242.97"
"2","1","95.11"
"2","1","151.54"
"2","1","256.82"
"2","2","376.72"
"2","1","293.89"
"2","1","92.28"
"2","2","212.98"
"2","2","153.71"
"2","2","84.4"
"2","2","68.08"
"2","1","260.97"
"2","1","354.92"
"2","1","231.45"
"2","1","478.78"
"2","1","197.62"
"2","1","373.03"
"2","2","187.5"
"2","2","304.02"
"2","1","104.12"
"2","1","261.52"
"2","1","309.17"
"2","1","254.34"
"2","1","48.81"
"2","1","223.69"
"2","2","270.93"
"2","2","191.8"
"2","2","166.79"
"2","1","354.97"
"2","1","251.91"
"2","1","77.52"
"2","1","210.63"
"2","1","165.14"
"2","2","103.5"
"2","1","274.7"
"2","2","406.37"
"2","2","294.59"
"2","2","267.76"
"2","2","210.03"
"2","2","290.82"
"2","2","268.07"
"2","2","349.48"
"2","1","126.69"
"2","1","152.25"
"2","1","206.84"
"2","1","386.5"
"2","1","428.22"
"2","1","94.51"
"2","1","296.07"
"2","1","270.35"
"2","1","109.36"
"2","1","193.16"
"2","1","535.8"
"2","1","410.03"
"2","1","162.35"
"2","1","158.98"
"2","1","202.96"
"2","1","231.81"
"2","1","273.94"
"2","1","213.56"
"2","1","376.8"
"2","1","185.63"
"2","1","150.28"
"2","1","386.41"
"2","1","288.42"
"2","1","369"
"2","1","123.7"
"2","1","155.93"
"2","1","338.84"
"2","1","135.77"
"2","1","265.13"
"2","2","292.14"
"2","2","182.73"
"2","2","314.07"
"2","2","31.25"
"2","2","109.68"
"2","2","128.36"
"2","1","202.72"
"2","1","348.5"
"2","2","229.47"
"2","2","217.31"
"2","2","280.48"
"2","2","175.9"
"2","2","274.48"
"2","1","351.91"
"2","1","243.48"
"2","2","45.68"
"2","1","309.67"
"2","2","340.15"
"2","1","143.4"
"2","2","134.33"
"2","2","432.11"
"2","1","40.35"
"2","1","216.41"
"2","1","261.96"
"2","1","192.15"
"2","2","261.52"
"2","2","119.67"
"2","2","241.03"
"2","2","260.52"
"2","2","88.57"
"2","1","249.76"
"2","1","300.54"
"2","1","425.06"
"2","1","335.83"
